PMID	PMCID	status	tgz_url	tgz_path	paper_files	supplement_files	other_files	error
25918386	PMC4434778	not_in_oa_subset			0	0	0	idIsNotOpenAccess: identifier 'PMC4434778' is not Open Access
26405058		no_pmcid			0	0	0	No PMCID in PubMed metadata
26694948	PMC4959848	not_in_oa_subset			0	0	0	idIsNotOpenAccess: identifier 'PMC4959848' is not Open Access
28076288	PMC5389517	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/bc/98/PMC5389517.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/28076288_PMC5389517.tar.gz	2	1	10	
29155943	PMC5728406	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/e4/ea/PMC5728406.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/29155943_PMC5728406.tar.gz	2	1	12	
30112727		no_pmcid			0	0	0	No PMCID in PubMed metadata
30778053	PMC6379413	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/85/ea/PMC6379413.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/30778053_PMC6379413.tar.gz	2	6	10	
31346230	PMC6658472	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/36/56/PMC6658472.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/31346230_PMC6658472.tar.gz	2	1	10	
33069552	PMC7961839	not_in_oa_subset			0	0	0	idIsNotOpenAccess: identifier 'PMC7961839' is not Open Access
34158503	PMC8219837	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/8c/a8/PMC8219837.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/34158503_PMC8219837.tar.gz	2	4	10	
34341535		no_pmcid			0	0	0	No PMCID in PubMed metadata
35322228	PMC9446716	not_in_oa_subset			0	0	0	idIsNotOpenAccess: identifier 'PMC9446716' is not Open Access
35532803		no_pmcid			0	0	0	No PMCID in PubMed metadata
37258671	PMC10284701	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/63/89/PMC10284701.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/37258671_PMC10284701.tar.gz	2	8	28	
38042487	PMC10790091	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/22/28/PMC10790091.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/38042487_PMC10790091.tar.gz	2	1	12	
38580646	PMC10997658	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/72/44/PMC10997658.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/38580646_PMC10997658.tar.gz	2	4	14	
38777090		no_pmcid			0	0	0	No PMCID in PubMed metadata
39558163	PMC11662663	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/ab/63/PMC11662663.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/39558163_PMC11662663.tar.gz	2	1	14	
40491751	PMC12148385	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/82/23/PMC12148385.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/40491751_PMC12148385.tar.gz	2	1	2	
40539513	PMC12204705	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/c8/36/PMC12204705.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/40539513_PMC12204705.tar.gz	2	1	16	
40650978	PMC12255306	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/84/cc/PMC12255306.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/40650978_PMC12255306.tar.gz	2	1	22	
41261131	PMC12675287	oa_package_downloaded	https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/38/1f/PMC12675287.tar.gz	field-curation-workdir/full_tRNAtherapeutics/oa_packages/41261131_PMC12675287.tar.gz	2	20	30	
